Date,Open,High,Low,Close,Adj Close
30-09-2021,0.03,0.03,0.025,0.028,0.028
29-09-2021,0.03,0.035,0.03,0.03,0.03
28-09-2021,0.03,0.035,0.028,0.03,0.03
27-09-2021,0.025,0.025,0.02,0.025,0.025
24-09-2021,0.025,0.028,0.025,0.025,0.025
23-09-2021,0.025,0.035,0.023,0.025,0.025
22-09-2021,0.02,0.025,0.018,0.025,0.025
21-09-2021,0.025,0.025,0.015,0.02,0.02
20-09-2021,0.03,0.03,0.02,0.025,0.025
17-09-2021,0.03,0.033,0.028,0.028,0.028
16-09-2021,0.033,0.033,0.028,0.03,0.03
15-09-2021,0.035,0.035,0.035,0.035,0.035
14-09-2021,0.035,0.035,0.033,0.035,0.035
13-09-2021,0.038,0.038,0.033,0.038,0.038
10-09-2021,0.035,0.038,0.035,0.038,0.038
09-09-2021,0.035,0.04,0.035,0.038,0.038
08-09-2021,0.04,0.04,0.038,0.04,0.04
07-09-2021,0.035,0.04,0.033,0.035,0.035
03-09-2021,0.04,0.04,0.035,0.04,0.04
02-09-2021,0.035,0.04,0.035,0.04,0.04
01-09-2021,0.04,0.04,0.04,0.04,0.04
31-08-2021,0.04,0.04,0.038,0.04,0.04
30-08-2021,0.045,0.045,0.038,0.038,0.038
27-08-2021,0.043,0.043,0.043,0.043,0.043
26-08-2021,0.043,0.043,0.043,0.043,0.043
25-08-2021,0.05,0.05,0.045,0.045,0.045
24-08-2021,0.048,0.05,0.048,0.048,0.048
23-08-2021,0.043,0.043,0.033,0.04,0.04
20-08-2021,0.043,0.043,0.04,0.043,0.043
19-08-2021,0.055,0.055,0.043,0.043,0.043
18-08-2021,0.065,0.065,0.05,0.055,0.055
17-08-2021,0.065,0.065,0.063,0.063,0.063
16-08-2021,0.048,0.06,0.045,0.058,0.058
13-08-2021,0.04,0.045,0.04,0.045,0.045
12-08-2021,0.045,0.045,0.043,0.043,0.043
11-08-2021,0.05,0.05,0.04,0.045,0.045
10-08-2021,0.048,0.05,0.045,0.05,0.05
09-08-2021,0.045,0.048,0.043,0.045,0.045
06-08-2021,0.043,0.045,0.043,0.043,0.043
05-08-2021,0.043,0.045,0.043,0.043,0.043
04-08-2021,0.045,0.045,0.045,0.045,0.045
03-08-2021,0.043,0.045,0.043,0.045,0.045
02-08-2021,0.038,0.038,0.038,0.038,0.038
30-07-2021,0.04,0.04,0.04,0.04,0.04
